"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","262.9981472974645","54.94574542660577","4.721908316964448","-0.31197865973435573","0.024699999999999944","0.0284","0.02100000000000002","1300","0.0002870079888678682","0","0.0002870079888678682","0.0002870079888678682","","","true"
"1","184.83950167146082","184.82929645713352","4.81513590032656","-0.3097440319777085","0.040200000000000014","0.0356","0.04479999999999995","1300","0.00022232922185150332","0","0.00022232922185150332","0.00022232922185150332","1_0:0.007187952081943089","1_0:660","true"
"2","310.02103388400207","251.3750458819131","4.609655107492074","-0.3090875180776862","0.010099999999999998","0.012399999999999967","0.0078","1300","0.00014112734071688586","0","0.00014112734071688586","0.00014112734071688586","2_1:0.006007853238383876","2_1:660","true"
"3","92.99187116478265","220.8198318734453","4.875545985705616","-0.30968652168552707","0.031299999999999994","0.020199999999999996","0.0424","1300","0.0001478026509607833","0","0.0001478026509607833","0.0001478026509607833","3_2:0.0062243828180782446","3_2:660","true"
"4","191.99335105967364","96.55529674475785","4.818175808974537","-0.3103713081153928","0.04180000000000006","0.03500000000000003","0.0486","1300","0.00022803336666768828","0","0.00022803336666768828","0.00022803336666768828","4_15:0.005883489411518783;4_3:0.006511265599683597;4_5:0.00606860089625999","4_15:660;4_3:660;4_5:660","true"
"5","288.4773061706989","181.31793094366188","4.7341447892979165","-0.3114518235315779","0.008499999999999952","0.00539999999999996","0.0116","1300","0.00012552016261653927","0","0.00012552016261653927","0.00012552016261653927","","","true"
"6","191.11007664241828","49.36571686295583","4.876275766278119","-0.30918835047116894","0.03149999999999997","0.0364","0.026599999999999957","1300","0.00021989178458726422","0","0.00021989178458726422","0.00021989178458726422","6_5:0.0067526682090587875;6_7:0.007660153091134769","6_5:660;6_7:660","true"
"7","256.6156937037307","87.67587674979941","4.967524822898377","-0.30745739300983294","0.013400000000000079","0.010800000000000032","0.016","1300","0.00044111481258253754","0","0.00044111481258253754","0.00044111481258253754","7_8:0.006933077637657797","7_8:660","true"
"8","219.74187487110134","51.51282408142827","4.902345248208107","-0.30837827664687645","0.011300000000000088","0.0098","0.012800000000000034","1300","0.00023258126367774906","0","0.00023258126367774906","0.00023258126367774906","8_9:0.008963767678118822","8_9:660","true"
"9","346.9443272335494","127.5589010814783","4.987235069122292","-0.3080310587566364","0.009400000000000075","0.008600000000000052","0.0102","1300","0.00018951759794006624","0","0.00018951759794006624","0.00018951759794006624","","","true"
