n_qubits,n_layers,seed,gate_train_loss,gate_acc_train,gate_acc_test,gate_lr,pulsed_train_loss,pulsed_acc_train,pulsed_acc_test,pulsed_lr,mixed_train_loss,mixed_acc_train,mixed_acc_test,mixed_lr
1,1,0,0.2279106775797075,0.646,0.616,0.05,0.2183574212418648,0.588,0.572,0.0165071395967971,0.2225496696229826,0.724,0.688,0.0084842065387225
1,1,1,0.2766777322731786,0.634,0.608,0.05,0.2389720322843055,0.544,0.512,0.0215074394389783,0.2765547976585443,0.666,0.608,0.0160960956348944
1,1,2,0.2543595813860859,0.646,0.676,0.05,0.2362138630274224,0.578,0.608,0.0125308366750356,0.2538090912145544,0.676,0.692,0.0194202178153973
1,1,3,0.2473985420065204,0.668,0.672,0.05,0.2363386864768982,0.608,0.576,0.0139877456885817,0.2455587993634995,0.682,0.652,0.0066495198637507
1,1,4,0.2190564109381368,0.734,0.656,0.05,0.2242992584927542,0.578,0.644,0.0111921120512508,0.2186164727856647,0.742,0.636,0.0140480163102014
1,2,0,0.2552122792662069,0.558,0.496,0.05,0.2295965732430945,0.552,0.548,9.913598786387076e-05,0.2670549962339258,0.564,0.56,0.0027125787649212
1,2,1,0.2317200843415024,0.58,0.596,0.05,0.2403558577704057,0.574,0.576,0.003163585703898,0.2346597726198819,0.624,0.668,0.0083903030908952
1,2,2,0.2461362076227737,0.53,0.532,0.05,0.2396815246889083,0.512,0.496,0.0025988272746871,0.2655694935371361,0.558,0.58,0.0035904174804786
1,2,3,0.2440221721521695,0.628,0.628,0.05,0.2597743358019595,0.488,0.492,0.0013850058256258,0.2346235098389933,0.572,0.516,0.0024137503308861
1,2,4,0.2496347425319467,0.598,0.592,0.05,0.2350633399396571,0.56,0.568,0.0001746690628504,0.2587436302476353,0.534,0.524,0.0019457840458062
1,3,0,0.2168355048853939,0.63,0.616,0.05,0.2164186166022892,0.632,0.604,0.0016275180350874,0.2493146390576095,0.622,0.592,0.0001670483497971
1,3,1,0.2393894849480585,0.652,0.604,0.05,0.2429688408647568,0.576,0.544,0.0003426493819212,0.2409838490754943,0.634,0.616,0.0014657513967413
1,3,2,0.2384240950342034,0.636,0.616,0.05,0.232179817177446,0.582,0.58,0.001712177409933,0.240072650759976,0.61,0.652,0.0001427321332576
1,3,3,0.2151673668469873,0.646,0.648,0.05,0.2236293636895418,0.606,0.616,0.0005327900094633,0.2429438997113363,0.6,0.588,0.0007168234914096
1,3,4,0.2173099005687585,0.672,0.636,0.05,0.2465836659272272,0.58,0.632,0.000759055488365,0.2309264320323689,0.638,0.544,0.000235589599364
1,4,0,0.1806372518388485,0.74,0.68,0.05,0.2262684470344474,0.65,0.648,8.081166441642258e-05,0.2468850954542612,0.618,0.532,0.0013272313914445
1,4,1,0.2242255694825571,0.672,0.664,0.05,0.206853697946231,0.67,0.684,0.0002109965685058,0.2371696622461746,0.626,0.628,0.0008717976704747
1,4,2,0.2335589135591793,0.596,0.56,0.05,0.2101815945694091,0.66,0.672,5.218372982662675e-05,0.2244702805990633,0.636,0.584,0.0003395663831516
1,4,3,0.1902627241398581,0.734,0.712,0.05,0.2239651374509108,0.626,0.612,0.0007694992160627,0.2143168669609202,0.682,0.588,0.0013643254781006
1,4,4,0.1784987157302848,0.744,0.616,0.05,0.2501978047267167,0.614,0.608,0.0012148504685394,0.2039183037172476,0.682,0.648,0.000505018109391
1,5,0,0.1949802147557678,0.726,0.656,0.05,0.2021242848404032,0.672,0.644,0.0001888710806138,0.203148230427357,0.7,0.668,0.000784219294426
1,5,1,0.1767489288315271,0.754,0.744,0.05,0.20958219532538,0.656,0.66,0.0005187966837418,0.2089814610910531,0.716,0.668,0.0001449726151415
1,5,2,0.2054885791479709,0.696,0.68,0.05,0.2303984438831158,0.586,0.548,0.0013723019271205,0.2123230416229063,0.706,0.608,0.0006941502053696
1,5,3,0.1984539805207066,0.702,0.696,0.05,0.2407965008083676,0.588,0.568,0.0003010843824958,0.1895553071351048,0.702,0.66,0.0003866674080013
1,5,4,0.1917174702485884,0.728,0.648,0.05,0.2299010274425935,0.596,0.592,0.0006835688035501,0.2158468442321374,0.636,0.592,0.0002763121152676
1,6,0,0.1921800145018996,0.744,0.736,0.05,0.1791908995678328,0.756,0.708,0.0003196819309878,0.1977378682016926,0.69,0.664,0.0010196151586671
1,6,1,0.1841338665758966,0.71,0.716,0.05,0.2145953731058582,0.67,0.688,0.0001474250619579,0.1989092353389216,0.714,0.668,0.0004306157888579
1,6,2,0.1979485478540329,0.716,0.636,0.05,0.2079110496688255,0.664,0.676,0.0010086716785766,0.1897450018041665,0.724,0.68,0.0006938826681021
1,6,3,0.2132313673969243,0.678,0.636,0.05,0.2280846914984276,0.66,0.644,0.0001322020452261,0.1904350895964332,0.716,0.684,0.0003249054340017
1,6,4,0.1557500649556837,0.792,0.732,0.05,0.2102917534675156,0.66,0.664,0.0002914623140551,0.2000321167819545,0.708,0.62,0.0001234980807397
1,7,0,0.1765146722267838,0.74,0.744,0.05,0.1894899194787194,0.712,0.668,8.128502271511839e-05,0.1994776713371875,0.716,0.696,0.0001052400570069
1,7,1,0.1717861153651988,0.744,0.74,0.05,0.208457957109216,0.698,0.708,0.000303093041653,0.2030797681616146,0.7,0.7,0.0011540098828428
1,7,2,0.1894665298233082,0.718,0.644,0.05,0.2164768325843007,0.632,0.66,0.0003039852248876,0.1837424672126035,0.73,0.584,0.0003375751193939
1,7,3,0.1810980381948608,0.746,0.668,0.05,0.2105238755223917,0.648,0.676,0.0002975473602131,0.2097014212904149,0.68,0.64,0.0007835863231826
1,7,4,0.197221436996525,0.686,0.6,0.05,0.2175065131095522,0.632,0.572,5.0086451629902856e-05,0.180615704285681,0.732,0.696,0.0003934628594017
1,8,0,0.1899071706762509,0.714,0.668,0.05,0.1900088224650576,0.692,0.652,0.0001967375993077,0.1850817434049417,0.716,0.62,8.218642156896306e-05
1,8,1,0.1807312162763033,0.742,0.7,0.05,0.2160113165163418,0.642,0.564,0.0002331551907424,0.2043213689455732,0.672,0.648,0.0001433904942638
1,8,2,0.1686436606473309,0.736,0.7,0.05,0.1922260868136162,0.686,0.636,0.0004989447126905,0.1917732775526625,0.738,0.632,0.000385124899627
1,8,3,0.1829755810425737,0.712,0.66,0.05,0.2026634268302646,0.692,0.676,0.0001713619814905,0.1671258862963272,0.77,0.664,0.0003545982839112
1,8,4,0.1911256350458525,0.716,0.628,0.05,0.2238342226840964,0.604,0.604,0.0002420901858003,0.1726635443866079,0.754,0.732,0.000290175270206
2,1,0,0.2161271163693761,0.718,0.684,0.05,0.2249848894051701,0.62,0.62,0.0028420272604753,0.2198555878668297,0.7,0.696,0.0004800033907908
2,1,1,0.2482515338034743,0.592,0.62,0.05,0.2390876280836289,0.516,0.484,0.0010716405280817,0.2601451364889255,0.602,0.612,0.0343759917845363
2,1,2,0.2450246952796342,0.62,0.588,0.05,0.2440104983068741,0.566,0.532,0.0025212836837586,0.2497711013901195,0.65,0.656,0.0343697199169136
2,1,3,0.2248258126976658,0.65,0.644,0.05,0.2482079396622066,0.482,0.432,5.088974755065758e-05,0.2284529627712155,0.682,0.652,0.0012896211652904
2,1,4,0.2132402283700914,0.726,0.636,0.05,0.2333254562491188,0.58,0.496,0.0056799914775626,0.2130847858835868,0.758,0.66,0.007956779408059
2,2,0,0.1829657846133416,0.754,0.748,0.05,0.2272996989853828,0.554,0.496,0.0008653335961949,0.2191243401118652,0.662,0.668,0.0003694036784222
2,2,1,0.1974022764411753,0.706,0.684,0.05,0.2249148617509441,0.626,0.648,0.002248101057935,0.2188346467894728,0.634,0.648,0.0010382772403317
2,2,2,0.219235459066602,0.626,0.608,0.05,0.2313502622674377,0.626,0.6,0.0019820627667158,0.2239707496767174,0.646,0.62,0.0014132153019815
2,2,3,0.1734247722802195,0.768,0.672,0.05,0.2254684443939554,0.636,0.596,0.0009010994898065,0.2065592502769009,0.654,0.576,0.0007374161790122
2,2,4,0.1854483291066284,0.758,0.688,0.05,0.2130396871226569,0.634,0.556,0.0001567347970185,0.193886556857325,0.692,0.632,0.0011695555732969
2,3,0,0.1527897948048296,0.822,0.764,0.05,0.1941284356642058,0.728,0.676,0.0002298163939903,0.1965300503139519,0.71,0.712,6.467526310551935e-05
2,3,1,0.160777773449283,0.796,0.812,0.05,0.2102414809173013,0.636,0.644,0.0007108660461345,0.1964100847378463,0.674,0.66,0.0014321973037803
2,3,2,0.1764495500696066,0.76,0.712,0.05,0.2094687470656167,0.64,0.604,0.000603843281914,0.2058542687161299,0.678,0.648,6.760186324129474e-05
2,3,3,0.1468955871198902,0.846,0.752,0.05,0.209553195525366,0.66,0.628,9.743893591500307e-05,0.1861830939294972,0.724,0.668,0.0003071101333968
2,3,4,0.1751000754531768,0.758,0.64,0.05,0.205558177282988,0.64,0.628,0.0003708524230251,0.1769150630731991,0.754,0.684,0.0004162480253559
2,4,0,0.130075034036215,0.862,0.84,0.05,0.1936226756014735,0.69,0.688,0.0001934511387804,0.1773468913650745,0.758,0.768,0.0002897666504303
2,4,1,0.1492355185902022,0.816,0.784,0.05,0.1907385810302994,0.73,0.724,0.0006458315280154,0.1819369800957203,0.726,0.712,0.0004341113968793
2,4,2,0.1781448684374306,0.728,0.696,0.05,0.1982750403257464,0.672,0.6,7.9570418122177e-05,0.1725189168823259,0.772,0.716,0.0005597081907726
2,4,3,0.1284606810688055,0.87,0.796,0.05,0.1878043069900248,0.69,0.676,0.0002593634368056,0.1711376165742421,0.768,0.724,0.0007405334727139
2,4,4,0.1264472798076711,0.826,0.656,0.05,0.1976262691511495,0.63,0.608,0.0001970441469325,0.1751999904205035,0.742,0.672,0.0002000579637165
2,5,0,0.1394295283919542,0.814,0.804,0.05,0.1811790803283327,0.716,0.684,0.0003175064268235,0.1633671938138166,0.782,0.74,0.0001516000138899
2,5,1,0.1283188115815984,0.856,0.828,0.05,0.1851050875525753,0.712,0.66,0.0001826065277718,0.1553724175494484,0.79,0.772,0.0003123598191551
2,5,2,0.146230172564805,0.794,0.708,0.05,0.1891838178001794,0.726,0.74,0.0002653838279162,0.1713852880193712,0.762,0.652,0.0004162876298134
2,5,3,0.1195284738391919,0.87,0.792,0.05,0.1826167961422972,0.708,0.688,0.0004940754263352,0.1448661306513028,0.826,0.68,0.0001777006290375
2,5,4,0.1144480363853764,0.884,0.72,0.05,0.1809475249855474,0.7,0.684,0.0001841699682996,0.1559263089748649,0.784,0.704,0.000476522268885
2,6,0,0.1243862690318711,0.84,0.788,0.05,0.1747360402907681,0.748,0.708,0.000478372748761,0.1592429645265017,0.78,0.784,0.0002707171842376
2,6,1,0.1339872905106003,0.848,0.784,0.05,0.1724739126777673,0.754,0.736,0.0001948046292336,0.1498013852731056,0.808,0.764,0.0005648728870642
2,6,2,0.1158451865061268,0.874,0.744,0.05,0.1793079889390989,0.712,0.648,0.0002079343578557,0.1619331133284732,0.786,0.68,0.0005626255681339
2,6,3,0.110744182895599,0.882,0.796,0.05,0.1850805923705663,0.674,0.656,0.0001386039530598,0.1384206218975043,0.828,0.792,0.0003348915123027
2,6,4,0.1082725667012438,0.87,0.724,0.05,0.1775635309689943,0.722,0.556,0.0001067514523574,0.15404142043532,0.812,0.724,0.0005120949410954
2,7,0,0.1235369620663712,0.844,0.812,0.05,0.1708808931259114,0.752,0.72,9.275828231723886e-05,0.1351958291201611,0.832,0.768,0.0003463740388701
2,7,1,0.1196029314050488,0.854,0.836,0.05,0.1763104708909165,0.726,0.704,0.0001911419024398,0.1424752048796138,0.792,0.82,0.0002303715935606
2,7,2,0.1125372307767631,0.866,0.732,0.05,0.1803335228434621,0.748,0.688,0.0001829002731455,0.1471602820513259,0.806,0.708,0.0002376027013469
2,7,3,0.1192848421947966,0.842,0.784,0.05,0.1720840483357378,0.73,0.724,0.0001164756858894,0.1473004831095959,0.796,0.704,0.0001773831659113
2,7,4,0.1110298610402474,0.862,0.732,0.05,0.1967324345868981,0.69,0.604,0.0001103799471042,0.1488778093045037,0.804,0.644,8.360764845283223e-05
2,8,0,0.1378579211939867,0.802,0.748,0.05,0.16438884601134,0.792,0.74,0.0001732382397228,0.1312462700767582,0.866,0.78,0.0002707614876726
2,8,1,0.121990409735532,0.852,0.828,0.05,0.1707407106581651,0.758,0.728,0.000193374984602,0.145488617234751,0.802,0.736,0.000142283097516
2,8,2,0.104280623080608,0.88,0.764,0.05,0.1773600381232942,0.748,0.704,0.0001483008760931,0.1413601374525225,0.818,0.74,0.0003773691307003
2,8,3,0.1168720511105761,0.87,0.784,0.05,0.169297478572276,0.766,0.732,0.0001352101682989,0.1437697074290125,0.812,0.724,0.0001183698198689
2,8,4,0.1246017640350546,0.848,0.68,0.05,0.1729838261554597,0.73,0.612,0.0001102098246567,0.1340861444890977,0.822,0.708,0.0002166166021653
