n_qubits,n_layers,seed,gate_train_loss,gate_acc_train,gate_acc_test,gate_lr,mixed_train_loss,mixed_acc_train,mixed_acc_test,mixed_lr,pulsed_train_loss,pulsed_acc_train,pulsed_acc_test,pulsed_lr
1,1,0,0.2674185718502337,0.604,0.58,0.05,0.2664105652294284,0.614,0.576,5.181524938222635e-05,0.2818592519695504,0.54,0.548,0.0039776327076046
1,1,1,0.2529717685363161,0.646,0.564,0.05,0.249827344444196,0.632,0.572,0.0410651069257124,0.2974074207456334,0.48,0.516,5.041874427793579e-05
1,1,2,0.2555956303350581,0.64,0.612,0.05,0.2556288020195353,0.64,0.612,0.0048894226938778,0.2869341680307873,0.486,0.528,0.0146136987767243
1,1,3,0.2446468922515915,0.656,0.628,0.05,0.2445020125927384,0.662,0.624,5.113500472035322e-05,0.2888828354411989,0.53,0.532,0.0025368674092938
1,1,4,0.2426323807888853,0.654,0.684,0.05,0.2436803288757887,0.66,0.672,0.0034672992897819,0.2947001551286468,0.558,0.464,0.0308704351034994
1,2,0,0.2422447818704182,0.626,0.616,0.05,0.2462712148617968,0.622,0.588,0.0005667890284874,0.1713501473958452,0.782,0.792,0.0029144309636768
1,2,1,0.2409671876523839,0.622,0.548,0.05,0.2572040366471942,0.588,0.58,0.0036531393505887,0.1589412497126223,0.782,0.748,0.0100778589166125
1,2,2,0.2211948108591219,0.668,0.596,0.05,0.2223761822606669,0.664,0.592,0.0005491685325486,0.1536026737390593,0.796,0.764,0.0016421483337908
1,2,3,0.2282248801118666,0.644,0.572,0.05,0.2399375987033505,0.632,0.536,0.0013890334074836,0.14940656484146,0.824,0.796,0.0043935075705367
1,2,4,0.2786801731099156,0.57,0.616,0.05,0.2454683974618503,0.626,0.596,0.0003896622152591,0.1524831037333677,0.786,0.788,0.0056508488416487
1,3,0,0.1940317402333047,0.712,0.664,0.05,0.2086556209179747,0.68,0.632,0.0018841568424027,0.1389285281392332,0.786,0.816,0.0003317553409051
1,3,1,0.220168980850507,0.682,0.68,0.05,0.2176957552081784,0.672,0.628,0.0003955882428678,0.1369464554309787,0.814,0.744,0.0048969731126517
1,3,2,0.1892363955018644,0.728,0.636,0.05,0.2064548217921214,0.686,0.636,0.0007965286056521,0.1448627120616715,0.806,0.76,0.0012496574087788
1,3,3,0.1970881070094486,0.72,0.608,0.05,0.2018426898113597,0.696,0.696,0.0006613292388077,0.1537433240901857,0.802,0.792,0.00072984694964
1,3,4,0.2234627320618538,0.668,0.668,0.05,0.2309417189751651,0.682,0.684,0.001324289011318,0.1622456351551256,0.8,0.728,0.0001625638435341
1,4,0,0.1951721227702349,0.714,0.676,0.05,0.205940002582916,0.69,0.66,0.0020558810201786,0.1421365519716484,0.786,0.756,0.0020391622854056
1,4,1,0.2062072835539155,0.696,0.644,0.05,0.2309438689551539,0.65,0.576,0.0001879228751126,0.1320212125169768,0.834,0.808,0.0002899789081003
1,4,2,0.1827091542371965,0.712,0.604,0.05,0.1986906013459316,0.728,0.68,0.0004940639254401,0.1247279801995601,0.842,0.856,0.0001447958993169
1,4,3,0.2119975538663947,0.694,0.62,0.05,0.2178652205761486,0.696,0.604,0.0010930486605313,0.128384225454238,0.846,0.812,0.0004185448113557
1,4,4,0.2056745560899438,0.698,0.7,0.05,0.2108635909220817,0.682,0.672,0.0005469737178386,0.1360735448241756,0.796,0.76,0.0012397915093421
