n_qubits,n_layers,seed,gate_train_loss,gate_acc_train,gate_acc_test,gate_lr,pulsed_train_loss,pulsed_acc_train,pulsed_acc_test,pulsed_lr,mixed_train_loss,mixed_acc_train,mixed_acc_test,mixed_lr
1,1,0,0.2844150020516763,0.552,0.576,0.05,0.2690922840359238,0.562,0.568,0.0219027854775598,0.2840821104867282,0.554,0.568,0.0109372805869753
1,1,1,0.2949860758264793,0.536,0.476,0.05,0.270841353044137,0.554,0.572,0.0155816450174851,0.294996166686014,0.55,0.464,0.0090356028128613
1,1,2,0.2936465772676365,0.532,0.46,0.05,0.2844885763190147,0.54,0.524,0.0379070074266882,0.2929014806815079,0.528,0.472,0.0023434340220987
1,1,3,0.3057124487540761,0.5,0.548,0.05,0.2718074877252813,0.574,0.604,0.0300355604250405,0.3060659890353336,0.5,0.536,0.0001656964596697
1,1,4,0.3075706542907823,0.528,0.54,0.05,0.2595218831457436,0.58,0.524,0.020519078128243,0.3074687308051595,0.54,0.504,0.0023567475580393
1,2,0,0.2740369923466986,0.596,0.508,0.05,0.2460909945220321,0.588,0.596,0.0010696753244003,0.2836540523599548,0.578,0.512,0.0028197029622189
1,2,1,0.2882803886247756,0.558,0.528,0.05,0.2184329560648553,0.658,0.624,0.0029332923451512,0.2868608736668458,0.532,0.54,0.0021862141190574
1,2,2,0.2765883874122395,0.538,0.528,0.05,0.2305800280971877,0.648,0.636,0.000216422701833,0.2780371344511863,0.554,0.524,0.0259563127641638
1,2,3,0.2762070805255163,0.544,0.476,0.05,0.2404433120491388,0.624,0.584,7.237082820257022e-05,0.2769258487241612,0.56,0.488,0.000589070796668
1,2,4,0.2656376614084311,0.578,0.508,0.05,0.2339419412790629,0.618,0.612,0.0019315647004307,0.2987742137011244,0.522,0.576,6.55252011643713e-05
1,3,0,0.2733008415833597,0.55,0.544,0.05,0.2374821060238695,0.618,0.6,0.0002278236406551,0.2751263843068187,0.566,0.56,0.0002844812606466
1,3,1,0.2756814888239012,0.568,0.508,0.05,0.1992116020250623,0.702,0.644,0.0016424177489593,0.2870469766366924,0.56,0.52,0.0006890711341471
1,3,2,0.2702400530673315,0.578,0.568,0.05,0.229726952520459,0.628,0.592,0.0004903460791369,0.2630298514535212,0.598,0.46,0.0006649661353705
1,3,3,0.2638986255112073,0.616,0.536,0.05,0.2112530623556651,0.676,0.684,0.0021336931069841,0.2745288859906834,0.572,0.58,0.0004470572951226
1,3,4,0.2816773445426769,0.564,0.556,0.05,0.2280469662290172,0.608,0.536,0.0007878245313133,0.2944020033219517,0.546,0.508,0.0002287153090538
1,4,0,0.2671179166729862,0.578,0.476,0.05,0.2107232272127638,0.69,0.644,0.0004498156726704,0.2572861925043097,0.584,0.596,0.0009540770998373
1,4,1,0.2647310276433786,0.556,0.516,0.05,0.209156839374321,0.682,0.692,0.0011589144152587,0.2624161747401358,0.562,0.548,0.0006808233891504
1,4,2,0.2707337852776778,0.578,0.504,0.05,0.1890598403793352,0.706,0.668,0.0002101844242713,0.2775828079237317,0.566,0.548,0.0011657536946176
1,4,3,0.2612125682288858,0.548,0.568,0.05,0.2096300042299402,0.694,0.688,0.0010689195120931,0.2636641679258103,0.59,0.48,0.0003735680523108
1,4,4,0.2652467896094633,0.562,0.504,0.05,0.2159568389382505,0.652,0.616,0.0011044652698747,0.265485251032896,0.564,0.584,0.0004700248279643
1,5,0,0.2577908898306112,0.61,0.564,0.05,0.2101944611988942,0.688,0.652,0.0001975811086735,0.2706278416290141,0.574,0.528,0.0002647746147167
1,5,1,0.2676917415858088,0.556,0.552,0.05,0.2088006558585049,0.7,0.676,0.0002583405047436,0.2689164694111378,0.556,0.556,0.0002952456386803
1,5,2,0.2740172532569759,0.536,0.508,0.05,0.2083078086559004,0.694,0.664,0.0010839334834821,0.2744383800286943,0.554,0.496,6.118234561999252e-05
1,5,3,0.2542799760258546,0.602,0.456,0.05,0.2152588117422709,0.68,0.648,0.0011681221383848,0.2706470969762629,0.592,0.492,0.0001911331528021
1,5,4,0.2921237777505735,0.512,0.492,0.05,0.2144366256601202,0.698,0.652,0.0001076769349667,0.2729972739830843,0.574,0.58,0.0001766067638897
1,6,0,0.2565879542681102,0.6,0.564,0.05,0.1908764402488532,0.748,0.62,0.0005004675104927,0.2716565011490993,0.554,0.472,0.0001858148820287
1,6,1,0.2575205049201158,0.612,0.512,0.05,0.1953652918842313,0.708,0.628,0.0001770745553744,0.2581257549907135,0.598,0.576,5.393827485196853e-05
1,6,2,0.2538557857284171,0.582,0.516,0.05,0.2073642458411973,0.704,0.648,0.0014692149814419,0.2688980951819779,0.606,0.536,0.0008379387818348
1,6,3,0.234386942618944,0.612,0.488,0.05,0.2067836880410295,0.662,0.688,0.0013281728743201,0.254041374469021,0.62,0.508,0.0004628793627163
1,6,4,0.2594841915386004,0.598,0.492,0.05,0.219647825887052,0.646,0.68,0.0002039688860796,0.2604073047438412,0.582,0.516,0.0002773589552281
1,7,0,0.2584427335976148,0.604,0.528,0.05,0.1888846733186027,0.704,0.68,0.0003019688967174,0.2617435264896364,0.612,0.472,0.0002097328542933
1,7,1,0.2625638969100937,0.596,0.504,0.05,0.1889938934497048,0.742,0.6,0.0002043461267812,0.2574214607604257,0.606,0.576,0.0006526746386329
1,7,2,0.2528578270898841,0.604,0.452,0.05,0.2001307785884416,0.696,0.616,0.0011486771608857,0.2676480046124537,0.58,0.484,6.228156742119741e-05
1,7,3,0.2388175140700945,0.616,0.528,0.05,0.2169991517512985,0.676,0.688,0.0005084954765598,0.2631138948894483,0.588,0.528,0.0003623020114292
1,7,4,0.2507181689507674,0.612,0.524,0.05,0.2141666743274036,0.644,0.644,0.0001497321427264,0.2588611528711824,0.606,0.488,0.0001960535961092
1,8,0,0.2442043112731123,0.638,0.54,0.05,0.1865436737321463,0.726,0.592,0.0002546071318474,0.2536629632973119,0.612,0.508,5.2199585746215806e-05
